P51451	P56945
P51531	P56524
P0DP23	P51532
P0DP24	P51532
P0DP25	P51532
P51532	Q8TDN4
P51674	Q99767
P52333	Q01113
P52732	P68400
P52735	Q68CZ2
P52926	Q9UIS9
P53007	P63173
P53350	Q13416
P53675	Q9Y265
P53778	Q99558
P53990	Q70EL1
P53990	Q86UW1
P53990	Q96N03
P55265	Q8TCB0
P55273	Q9NS64
P55854	Q13472
P56817	Q9P2D7
P56962	Q9UNK0
P57059	P84098
P58107	Q12933
P59768	Q9Y572
P60903	P80511
P61088	Q15759
P61088	Q99558
A6NMX2	P78344
P0DP23	Q96SB3
P0DP24	Q96SB3
P0DP25	Q96SB3
P62241	Q96EY1
P62269	Q9NR30
P62330	Q9H8S9
P62826	Q15628
P62829	Q9ULV4
P62917	P63241
P62979	Q99471
P62995	Q9UK53
P63104	Q9Y243
P63165	Q13164
P63173	Q15006
P63244	Q13322
P67775	P98170
P78347	Q9BQG0
P78352	Q96J02
P78357	Q14118
P81605	Q8IX01
P81605	Q8IX90
P84103	Q12802
Q00526	Q13509
Q00537	Q8TEW0
Q01196	Q92831
Q01201	Q96RU7
Q01814	Q13536
Q02952	Q14515
Q03933	Q9Y6D6
Q04637	Q504Q3
Q05209	Q9Y2X7
Q05513	Q13490
Q06413	Q9NYJ8
Q06587	Q14209
Q07021	Q92851
Q07352	Q12802
Q07864	Q92616
Q07869	Q96ST3
Q07890	Q9BY11
Q07890	Q9Y2H0
Q07912	Q15464
Q07912	Q9NWQ8
Q07955	Q7RTV0
Q08050	Q2NKX8
Q08117	Q9Y618
Q08211	Q12888
Q08345	Q14764
A7E2V4	Q6P1W5
A7E2V4	Q70EL1
A7E2V4	Q86UW1
A7E2V4	Q96MN9
A7E2V4	Q96N03
A7E2V4	Q9H7H0
A7E2V4	Q9UBD0
Q09028	Q14188
Q09161	Q12933
Q09472	Q14938
Q09472	Q6UB99
Q09472	Q99623
Q09472	Q9UPW0
Q12805	Q8IWU6
Q12866	Q9UQC2
Q12888	Q9Y253
Q13077	Q68DV7
Q13131	Q9UHD2
Q13153	Q9Y5S2
Q13156	Q9UJW9
Q13177	Q99952
Q13185	Q8WVM8
Q13233	Q9H467
Q13233	Q9UBT7
Q13315	Q96AH0
Q13363	Q15287
Q13368	Q8NCG5
Q13368	Q9Y3X0
Q13387	Q13536
Q13490	Q9NVI1
Q13523	Q9BUI4
Q13541	Q13542
Q13546	Q86Y07
Q13554	Q9Y2J0
Q13569	Q9UBW7
Q13588	Q8WV28
Q13884	Q9NSN8
Q13976	Q15349
Q14004	Q9NZI8
Q14185	Q92918
Q14191	Q9HCU8
Q14192	Q15327
Q14192	Q9Y618
Q14195	Q9H0D6
Q14206	Q99689
Q14247	Q15149
Q14258	Q9H1Y0
Q14318	Q14457
Q14457	Q7Z465
Q14493	Q15185
Q14790	Q8N5C8
Q14978	Q92769
Q15003	Q8NEM2
Q15006	Q9NQH7
Q15046	Q9Y224
Q15293	Q96MN9
Q15293	Q9H7H0
Q15398	Q9NYP9
Q15560	Q96AJ1
Q15596	Q8WX92
Q15645	Q8NI77
Q15700	Q9HAP6
Q15843	Q7L5Y6
Q15843	Q8NFZ0
Q16288	Q9ULB1
Q16650	Q9ULB1
Q32P44	Q9Y6A4
Q33E94	Q86VZ2
A8MWD9	O15116
Q4AE62	Q96RT6
Q53ET0	Q9Y2A7
Q53GL7	Q9NRZ9
Q562F6	Q9NPD8
Q5TD97	Q9Y2W7
Q5TGY3	Q86UW1
Q5TGY3	Q8N1N0
Q5TGY3	Q96MN9
Q5TGY3	Q9NRX4
Q5VTL8	Q6UUV7
Q6AZZ1	Q96PM5
Q6EMB2	Q9UKR3
Q6IA17	Q92985
Q6IB77	Q9Y2P0
Q6K0P9	Q96EF0
Q6P1W5	Q8N196
Q6P1W5	Q92609
Q6P1W5	Q9H7H0
Q6PL18	Q9HBM1
Q6WCQ1	Q9UM54
Q6WCQ1	Q9Y6U3
Q70EL1	Q86UW1
Q70EL1	Q9H7H0
Q70EL1	Q9UKJ3
Q71U36	Q8NFZ5
Q7L1I2	Q9Y2J0
Q7Z2W4	Q96RF1
Q7Z570	Q86UW1
Q7Z570	Q96MN9
Q7Z570	Q9H7H0
Q7Z589	Q9P287
Q86U70	Q96ST3
Q86UW1	Q8N1N0
Q86UW1	Q92609
Q86UW1	Q96HA1
Q86UW1	Q96MN9
Q86UW1	Q96N03
Q86UW1	Q9H869
Q86UW1	Q9NRX4
Q86UW1	Q9UBD0
Q86W47	Q8TC59
Q86WB0	Q9Y297
Q86XI2	Q96FF9
Q86Y13	Q96BH1
Q8IU60	Q8ND56
O00151	O43679
O00159	P62873
O00165	P09874
Q8IYX8	Q8N4L8
Q8IZD9	Q9ULH1
Q8N196	Q8N1N0
Q8N196	Q9H7H0
Q8N1N0	Q9H7H0
Q8N1N0	Q9NRX4
O00180	Q9H2X9
O00198	O14727
O00221	Q13547
O00257	P57682
O00257	Q92831
O00294	Q96RL7
O00294	Q9UL42
O00299	P04843
O00303	P61353
Q8TAQ2	Q9UI36
Q8TCN5	Q96NX5
Q8TE02	Q96N03
