O00762	P54132
O14786	P17813
O14920	O15105
O14948	Q9UMR7
O14974	Q99832
O15111	O95382
O15372	Q9BUB5
O15392	Q5BJF2
O15511	Q99643
O15524	Q09472
O43707	P19105
O43749	Q9NQN1
O75081	P41182
O75112	P06753
O75167	Q9UHI7
O75391	Q9UKJ0
O75792	Q13111
O75815	P29353
O75943	Q16594
O94776	Q5JVS0
O94805	Q92769
P00533	Q9NRD5
P00533	Q9UK53
P01730	Q6PIZ9
P03372	Q14209
P04075	P62244
P04271	Q16653
P04626	P17931
P05114	Q13242
P05412	P50750
P06241	P20591
P06400	Q92934
P06454	P0C0S5
P06732	Q9Y692
P07196	Q9H313
P07288	Q92826
P07333	P20963
P07437	Q86WV6
P08069	P27448
P08069	Q9NP31
P0DMV8	Q99966
P0DMV9	Q99966
P08603	Q8IX05
P08631	Q8TC17
P08670	Q9UNL4
P09326	P41218
P09601	Q15582
P09619	P10275
P10275	Q93045
P10276	Q9NNW7
P10415	P30291
P10636	P20941
P10809	P67775
P10914	Q9UIG0
P11217	Q8IZP2
P13611	P21810
P13639	P62979
P14314	P19388
P14678	Q9NY12
P15882	Q9NP31
P15941	Q13444
P16104	Q8NCD3
P17947	P29374
P18074	Q9Y230
P18887	P38936
P19474	Q8TCB0
P20936	Q8TC17
P22314	Q9Y4A5
P23458	Q9UMW8
P23497	Q9H930
P23528	Q99759
P24385	Q15131
P31689	Q92851
P31994	P48023
P32780	P55199
P33991	Q02224
P38432	Q9NRR5
P38936	Q13618
P40763	Q86Y07
P42336	Q9Y4A5
P42677	Q14974
P45984	P61247
P46109	Q9Y5X1
P47775	Q9UDY6
P47928	Q8WV28
P47928	Q9BQ89
P48023	Q96J02
P48729	Q15648
P49407	Q9Y5B0
P49411	Q05639
P49770	Q05397
P50613	Q05086
P50748	Q86XI2
P50750	Q96KB5
P51608	P68400
P51617	P63244
P51948	Q92993
P52732	Q15021
P52735	Q8TC17
P52907	Q9BUL8
P53779	Q9NYL2
P54132	Q7LG56
P54132	Q99708
P54259	Q04206
P55072	P61077
P55081	Q8N9M5
P56282	Q8NCD3
P56524	Q07869
P57087	Q14515
P60709	Q12967
P60953	Q9UPX8
P61353	Q5JTH9
P61981	Q96B97
P62140	Q16543
P0DP23	Q12905
P0DP24	Q12905
