P51681	Q9NRJ3
P51946	Q9NQU5
P52948	P53801
P53355	Q00535
P53396	Q92837
P53611	Q7L2H7
P61204	Q6VY07
P61586	P78352
P61978	Q9NZ08
P62136	Q15796
P62258	Q8WUM4
P62805	Q12851
P62879	Q9UNE7
P68400	Q08881
Q00653	Q13158
Q00987	Q86WB0
Q01344	Q02446
Q01523	Q9NZP6
Q12947	Q15572
Q13043	Q92636
Q13087	Q9UHI7
Q13239	Q9ULZ2
Q13263	Q9ULV3
Q14151	Q9Y383
Q14190	Q9BXM7
Q15004	Q96FF9
Q15477	Q92616
Q15637	Q9NS23
Q16531	Q92538
Q16576	Q92830
Q53T94	Q9NSU2
Q5VTD9	Q9P2R6
Q5VTL8	Q96NE9
Q6PL18	Q71UI9
Q6QNY0	Q9H1K0
Q6UWE0	Q9Y3C5
Q7Z4V5	Q9H3K6
Q86VZ2	Q9BTK6
Q8IZD9	Q9NTI2
Q8N4C8	Q9BYB0
O00299	Q9Y371
Q8WYR1	Q92750
Q8WYR1	Q96LB8
Q92993	Q9BZL6
O00398	P06729
Q96JI7	Q99805
Q96RU3	Q9UKS6
O00512	Q6PD62
O00566	Q14692
O00571	Q99683
O00750	O60721
O00750	Q9NYQ7
Q9H4G0	Q9UPQ3
Q9H5I1	Q9P1A6
Q9H857	Q9Y4K3
Q9NQX4	Q9ULV0
Q9UBD5	Q9UL03
O14512	P52630
O14525	Q9BWQ8
O14525	Q9UPY6
O14544	P42680
O14746	O14757
O14965	Q9Y3C5
O14980	P55316
O15143	P61601
O15143	Q9Y279
O15146	P54753
O15151	Q9Y6K9
O15169	Q15843
O15350	Q99459
O15519	P52566
O15530	O43353
O43353	P24941
O43390	Q14676
O43741	Q16543
O60268	Q9UI12
O60282	O75592
O60307	Q96T49
O60674	Q9HD43
O60763	O94979
O75145	Q12873
O75154	Q5JSH3
O75326	Q9H222
O75398	P53396
O75531	Q99962
O75807	P03372
O75909	Q5MJ70
O94875	P41240
O95182	P31930
O95347	Q9BZJ0
O95406	Q9Y5J1
O95631	P26373
O95831	Q01813
O96013	P07947
O96013	P13224
P00492	Q9Y2D8
P00750	P60903
P01579	Q6SA08
P01730	Q15654
P04264	Q15349
P04632	P27824
P04637	Q9UBC0
P04792	Q01959
P05412	Q16623
P06127	P29376
P06213	Q15750
P06733	Q99759
P06748	Q9Y224
P07196	Q16288
P08253	P08493
P08670	Q9Y297
P09496	Q13509
P09543	Q9H169
P10275	P19532
P10914	P41240
P11712	Q8NCG5
P11802	P55210
P11802	Q9UHD2
P12036	P16989
P12110	P28300
P13010	P62913
P13224	Q9P0K1
P14616	Q13164
P14625	Q13507
P14859	Q16594
P14923	Q9UI14
P15976	P68104
P18545	P56945
P19022	Q9Y6N8
P19793	P20936
P20248	Q8NBT2
P20290	Q15648
P20936	Q9UQM7
P22626	P62306
P23258	Q14192
P27348	Q99558
P27348	Q9NPE3
P27708	Q15477
P27918	P51693
P27986	Q96RU3
P29353	Q9Y2H0
P31350	Q86Z02
P31689	Q12931
P33992	P56537
P35269	Q9ULH7
P36897	Q8IVT5
P37840	P62993
P38646	Q9UKB1
P40337	Q13228
P40818	Q14739
P41567	Q7L2H7
P46060	P68366
P46934	Q00610
P46940	Q16832
P48729	Q9GZV5
P49366	P49902
P49450	Q03252
P52630	P78314
P58062	Q8TE69
P58107	Q9NXW2
P62269	Q15758
P62306	Q04837
Q03164	Q13469
Q12802	Q99570
Q13098	Q15027
Q13206	Q15788
Q13501	Q9BXW9
Q14164	Q15029
Q14831	Q9UHC6
Q14982	Q86SE5
Q8TCN5	Q9Y2I2
Q92556	Q9ULH1
Q9H2X0	Q9UBX5
O14595	Q9NQU5
O14757	O75794
O15056	O60890
O15160	Q9UJF2
O15264	Q9UER7
O43521	Q5JVS0
O43924	Q92565
O75563	P00519
O75679	Q12837
O75830	P54252
O94776	Q13112
O94811	Q9UBS5
O94915	Q99570
P00492	P62249
P00519	Q9UQ26
P04150	Q9Y4K3
P04406	Q9Y337
P06576	Q14204
P06870	P16870
P07101	Q05469
P07355	P52564
P08238	Q8N752
P08581	Q13873
P08648	P46109
P08670	P31949
P08922	Q8N423
P09619	Q9UBS5
P09912	Q13469
P10276	Q13045
P11142	Q6P3W7
P11309	P15927
P12110	Q99615
P14373	Q9UIF9
P17936	Q30201
P18054	Q9UMD9
P19086	Q16658
P27708	Q8IUF1
P30419	P41227
P30511	Q8IY21
P32121	Q9UHX1
P35520	Q9NX55
P36871	Q8N1N5
P39059	Q08397
P40238	Q02763
P45973	Q99741
P46776	P61224
P46777	Q6DKI1
P46779	P62937
P47928	Q9BYB0
P49366	Q96CN4
P49459	Q99986
P49662	Q9UKV3
P49715	Q7Z2E3
P49810	Q92870
P49810	Q9NYY3
P49848	Q15393
P51398	P62424
P51668	Q8N2W9
P51692	Q06413
P51911	Q12929
P51946	Q9UNL4
P52630	Q9NP31
P55040	Q14134
P55211	Q9HBI1
P55795	P61088
P55884	Q9BUZ4
P56282	Q96R06
P56945	Q92835
P57059	Q8IVT5
P61421	Q15773
P63279	Q15906
P82251	Q76N89
P84022	Q01826
Q06546	Q9NVV9
Q07954	Q14185
Q08431	Q9UBX5
Q08499	Q92636
Q12888	Q13472
Q12923	Q15118
Q13127	Q92925
Q13232	Q6ZTN6
Q13501	Q9HAT8
Q13526	Q96IZ0
Q13588	Q14155
Q13616	Q5MJ70
Q13651	Q9UQQ2
Q14005	Q16539
Q14406	Q9UDX4
Q14686	Q99626
Q14686	Q9Y2Y9
Q14687	Q16891
A8MVU1	P19878
Q14847	Q96JB6
Q14934	Q9Y6W6
Q15149	Q96J84
Q15233	Q8IYW5
B3KU38	Q15746
P0DPB3	Q15746
Q15836	Q6ZWJ1
Q16513	Q9BWF2
Q16630	Q8WWR8
Q2KHT4	Q9NRJ5
Q59EK9	Q8N414
Q6IE81	Q8WUI4
Q6QNY0	Q9UPN3
Q71F23	Q9H211
Q8IWY9	Q9BVC3
Q8N9M5	Q96NE9
Q8NEM0	Q9BQI6
O00193	P35659
O00221	Q92769
O00268	O60684
Q92793	Q96GM5
Q9BZZ2	Q9HB58
O00505	P30281
O00622	P05412
O00622	P17275
Q9H9L3	Q9UHI7
Q9NXL6	Q9UHB6
O14512	P11309
O14709	Q8WY54
O14757	O43318
O14836	P51787
O14920	Q15029
O14929	Q9UKY7
O14965	Q09472
O14965	Q9Y5N6
O15034	O95153
O15056	P53365
O15069	Q13554
O15198	Q15691
O15350	O95863
O15379	P49841
O43143	Q5JUX0
O43150	P25098
O43164	P53618
O43167	O94907
O43184	P00747
O43390	P26639
O43761	Q99819
O43795	Q9NUG6
O43918	Q8TD19
O60610	P48995
O60721	Q9BXM0
O60762	Q16181
O75112	P02585
O75323	Q9GZZ9
O75446	Q02880
O75553	P17028
O75691	P19838
O75751	Q4KMG0
O75914	P29074
O94906	P11586
O94915	P78559
O95347	Q9UNS2
A6NCE7	Q9H0R8
O95466	P42858
O95478	P61927
O95628	Q9UKV5
O95816	P42285
P00533	Q8TF74
P00973	P48551
P01008	P07204
P02461	P49747
P02768	P61769
P03952	P08581
P04632	P29992
P04632	P61421
P04839	P25774
P05230	Q9UQB3
P05556	Q86TP1
P07203	P16333
P08047	P40692
P0DMV8	Q9UBU9
P0DMV9	Q9UBU9
P08514	P14543
P08581	Q9H204
P08631	Q92882
P08922	Q9UQC2
P09693	P36402
P10071	P18146
P10275	P63000
P10599	P61201
P10809	P14625
P10914	P13236
P12318	P14784
P12830	P13866
P12956	P20749
P13631	Q92828
P15056	Q07020
P15498	Q04695
P16519	Q8IW70
P17693	P19474
P18031	P49840
P18858	P20700
P19525	P55212
P21246	Q92561
P21579	Q9Y6N8
A6NI72	P19878
P0DPB5	P23508
P0DPB6	P23508
P24723	P55040
P26885	Q15011
P29966	Q9BR76
P30411	Q15172
P30531	P46459
P30532	Q15825
P30874	P43628
P31151	Q99683
P33993	Q5MJ70
P35240	Q9UIL1
P37275	Q13485
P39019	Q8IUE6
P40222	Q9BYM8
P41002	Q53HL2
P41240	Q14694
P42224	Q9NP62
P42226	Q15562
B3KU38	P42262
P0DPB3	P42262
P42766	Q15758
P43405	Q13651
P48039	P81274
P48547	Q01814
P48730	Q9NSA3
P52292	Q8N2W9
P53990	Q96RK0
P55197	Q9Y383
P61968	Q9UHK0
P0DP23	P84243
P0DP24	P84243
P0DP25	P84243
P63208	Q9NYG5
P63215	Q9NTI2
P78371	Q8TF05
P78527	Q8N668
P78539	Q9NZN4
P80723	Q13571
P98082	Q15464
P98170	Q15797
Q04206	Q9UBW7
Q13387	Q9BYH1
Q13643	Q6SA08
Q6Q0C0	Q99683
Q8IUD2	Q8N9M5
O00159	Q14004
Q8WWZ3	Q99558
Q96A56	Q9UNL4
Q96BD8	Q9Y4B5
O14836	Q13501
O15360	O95997
O43257	Q14980
O43570	Q9NXG6
O43572	P61081
O43916	O95196
O60341	Q04206
O75529	Q15672
O94782	P40937
O94811	Q96T49
O94850	Q9NYX4
O95665	P09923
O95782	Q00987
O95819	P98082
P01106	P35236
P01222	Q9NYV7
P04843	Q8IX12
P06400	Q99549
P07766	Q9UKV5
P07910	P21333
P08133	Q9Y281
P09651	Q9NQT5
P09871	Q01629
P10523	P68133
P12532	Q07812
P12830	Q9UM11
P13010	Q9UIF7
P14921	P19532
P20226	Q92547
P20963	Q9NP31
P21926	Q9BTU6
P22415	Q02078
P23921	P46013
P26038	Q99816
P27338	Q07092
P27348	Q9Y5K6
P28799	P51825
P29350	Q12959
P30050	Q00653
P30531	P51168
P31994	Q9Y336
P32927	Q92934
P33176	P43246
P38646	Q99584
P41594	Q03431
P42224	Q8N9N2
P43694	Q15418
P46379	Q9NR12
P50990	Q16531
P51532	Q00688
P51532	Q99759
P51784	Q9NWU2
P52294	Q93008
P52907	P61978
P55210	Q92843
P56524	Q05513
P60842	Q13177
P60880	Q16620
P61081	Q9Y6D6
P61981	Q9C004
P62873	Q16555
P62879	Q02809
P62937	Q99873
P63272	Q9NYA4
P68371	Q13428
P78318	Q6NUP7
P78332	Q68CP9
P78527	Q99731
P98077	Q6S5L8
P98175	Q9UQ35
Q00987	Q92851
Q01082	Q9UKW4
Q02080	Q92793
Q04695	Q99959
Q04917	Q8NI35
Q06828	Q9NRM0
Q07157	Q9UQQ2
Q07820	Q96EP1
Q08050	Q13618
Q08999	Q66K89
Q12873	Q9NYV4
Q12879	Q5TCQ9
Q13087	Q9H222
Q13112	Q9UKV0
Q13133	Q86X55
Q14676	Q86YC2
Q14690	Q15025
Q14790	Q15139
Q15389	Q8NFZ5
Q15545	Q71F56
Q15569	Q9HAP2
Q15796	Q9Y5W3
Q16082	Q9UBS8
Q16621	Q99941
Q53HL2	Q9BW19
Q5PRF9	Q5SW79
Q5PRF9	Q9Y6A4
Q5T6F0	Q9C0C7
Q6UB99	Q86T24
Q6W2J9	Q92731
Q70YC5	Q9BRR3
Q7Z401	Q8N9M5
Q7Z4V5	Q8IUE6
Q7Z739	Q8TDY2
Q8IWZ3	Q9UBB9
O00165	P12235
Q8N2H9	Q9Y265
Q8NCB2	Q8TDI0
Q8ND04	Q9NYA4
O00193	P61978
O00193	Q92769
O00257	Q08999
O00268	Q13263
Q92769	Q9NRG4
Q92785	Q93009
Q92794	Q9Y4K3
Q92882	Q9BWU1
Q93009	Q9NS56
O00311	Q9Y6B6
O00463	P53350
Q96RR4	Q99759
Q99615	Q9GZN7
Q99832	Q99873
Q9BRK0	Q9H2J7
Q9BXL7	Q9NX02
Q9C086	Q9Y572
O00541	Q12788
O00566	Q15072
O00571	Q92985
Q9H4A3	Q9NYL2
Q9NWQ8	Q9Y3L3
Q9NY72	Q9Y6N8
Q9UKA4	Q9Y6D5
Q9UKG1	Q9UKJ5
Q9Y371	Q9Y5X1
O14686	P98161
O14782	Q5SW79
O14828	P04083
O14901	Q9H869
O14939	Q9UQ16
O14980	P40425
O14980	P54709
O15162	Q9UQQ2
O15371	Q9P2A4
O15482	O43304
O43255	Q05397
O43294	P42224
O43294	P43320
O43482	Q96E14
O43639	Q9NZM3
O43739	P26998
O43741	Q9UQ35
O43929	O75943
O60307	O94850
O60381	P55345
O60613	P09622
O60762	P62995
O60885	Q05397
O60890	Q13009
O75044	P31947
O75044	Q92538
O75052	P63167
O75326	P42684
O75717	Q9NS87
O94776	P00533
O94826	P04637
O95071	P10914
O95071	Q96HN2
O95196	Q9Y4J8
O95347	Q9NSG2
O95347	Q9Y496
O95551	Q13257
O95665	P05014
O95819	P24821
O95931	P25101
O95996	P10586
O96028	Q15021
P01100	P49407
P01860	Q8IX12
P02765	P63208
P02766	P25815
P02778	P32248
P04406	P25963
P04626	Q8WX92
P04908	P53675
P05107	Q6P9H5
P05129	Q01959
P05556	Q7Z4I7
P06400	Q9BY66
P07949	Q02750
P07996	P60033
P08238	Q9UQ13
P09327	Q14289
P09496	Q05655
P09622	P53618
P10301	P31947
P11021	Q8N3C0
P11142	Q8TAQ2
P11215	P20023
P11274	Q7KZI7
P11309	Q00653
P11474	Q15418
P11474	Q9Y6K9
P12081	Q01484
P12882	Q9Y5B9
P12931	P62249
P12956	Q9Y253
P13639	P25398
P14316	Q9UJU2
P14625	Q9Y239
P14625	Q9Y2Y4
P14635	Q9Y266
P14867	Q9BWQ8
P14868	Q9Y230
